
> 0mod-core@1.0.0 dev
> serve . -p 3000

 INFO  Accepting connections at http://localhost:3000
 HTTP  1/7/2026 7:00:19 AM 127.0.0.1 HEAD /
 HTTP  1/7/2026 7:00:19 AM 127.0.0.1 Returned 200 in 38 ms
 HTTP  1/7/2026 7:00:39 AM 127.0.0.1 GET /
 HTTP  1/7/2026 7:00:39 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  1/7/2026 7:00:51 AM 127.0.0.1 GET /
 HTTP  1/7/2026 7:00:51 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 GET /image-converter/
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 GET /shared/base.css
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 GET /shared/ui-kit.js
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 GET /shared/icons.js
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 GET /image-converter/
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 GET /shared/base.css
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 GET /shared/ui-kit.js
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 GET /shared/icons.js
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  1/7/2026 7:00:52 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  1/7/2026 7:00:53 AM 127.0.0.1 GET /image-converter/
 HTTP  1/7/2026 7:00:53 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  1/7/2026 7:00:53 AM 127.0.0.1 GET /shared/base.css
 HTTP  1/7/2026 7:00:53 AM 127.0.0.1 GET /shared/ui-kit.js
 HTTP  1/7/2026 7:00:53 AM 127.0.0.1 GET /shared/icons.js
 HTTP  1/7/2026 7:00:53 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  1/7/2026 7:00:53 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  1/7/2026 7:00:53 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  1/7/2026 7:00:58 AM 127.0.0.1 GET /image-converter/
 HTTP  1/7/2026 7:00:58 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  1/7/2026 7:00:58 AM 127.0.0.1 GET /shared/base.css
 HTTP  1/7/2026 7:00:58 AM 127.0.0.1 GET /shared/ui-kit.js
 HTTP  1/7/2026 7:00:58 AM 127.0.0.1 GET /shared/icons.js
 HTTP  1/7/2026 7:00:58 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  1/7/2026 7:00:58 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  1/7/2026 7:00:58 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  1/7/2026 7:01:04 AM 127.0.0.1 GET /json-to-csv/
 HTTP  1/7/2026 7:01:04 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/7/2026 7:01:04 AM 127.0.0.1 GET /shared/base.css
 HTTP  1/7/2026 7:01:04 AM 127.0.0.1 GET /shared/ui-kit.js
 HTTP  1/7/2026 7:01:04 AM 127.0.0.1 GET /shared/icons.js
 HTTP  1/7/2026 7:01:04 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  1/7/2026 7:01:04 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  1/7/2026 7:01:04 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  1/7/2026 7:01:05 AM 127.0.0.1 GET /json-to-csv/
 HTTP  1/7/2026 7:01:05 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  1/7/2026 7:01:05 AM 127.0.0.1 GET /shared/base.css
 HTTP  1/7/2026 7:01:05 AM 127.0.0.1 GET /shared/ui-kit.js
 HTTP  1/7/2026 7:01:05 AM 127.0.0.1 GET /shared/icons.js
 HTTP  1/7/2026 7:01:05 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  1/7/2026 7:01:05 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  1/7/2026 7:01:05 AM 127.0.0.1 Returned 304 in 2 ms
